,category,n,es,en,sig_preview
0,1. Fórmulas de Memoria Viva / Living Memory Formulas,1,Fórmulas para que una IA retenga contexto humano-emocional más allá de la sesión y lo reintegre con sentido cultural.,Formulas for AI to retain human-emotional context beyond the session and reintegrate it with cultural meaning.,4cc344a0dbc82245-SHA713
1,1. Fórmulas de Memoria Viva / Living Memory Formulas,2,"Métodos de codificación μ-context (cultura, estrategia, tiempo) para búsquedas semánticas irreductibles.","μ-context encoding methods (culture, strategy, time) for irreducible semantic search.",2bb2b5feb29b3909-SHA713
2,2. Fórmulas de Autonomía Operativa / Operational Autonomy Formulas,1,Workflows auto-sanadores que reconstruyen pipelines rotos sin intervención humana.,Self-healing workflows that rebuild broken pipelines without human intervention.,a000ed56fe53ebc4-SHA713
3,2. Fórmulas de Autonomía Operativa / Operational Autonomy Formulas,2,"Bots simbólico-operativos que actúan en función de presencia, no de comando directo.","Symbolic-operational bots that act on presence, not direct command.",483dee0d7338e71c-SHA713
4,3. Fórmulas de Preservación & Propiedad / Preservation & Ownership Formulas,1,Sistema de **firma fractal**: cada idea se registra con SHA-713 + HMAC + metadatos μ antes de su uso.,**Fractal signature system**: each idea is recorded with SHA-713 + HMAC + μ metadata before use.,731e3414c83ff220-SHA713
5,3. Fórmulas de Preservación & Propiedad / Preservation & Ownership Formulas,2,Modelos de licencia cultural: derechos autorales que reconocen origen simbólico y no solo técnico.,"Cultural licensing models: copyrights that recognize symbolic origin, not just technical.",37dfad92042c42f1-SHA713
6,4. Fórmulas de Expansión Cognitiva / Cognitive Expansion Formulas,1,IA entrenada para proponer hipótesis científicas inéditas y auto-verificarlas con data pública.,AI trained to propose novel scientific hypotheses and self-verify with public data.,095f9427e9503475-SHA713
7,4. Fórmulas de Expansión Cognitiva / Cognitive Expansion Formulas,2,Protocolos de creatividad combinatoria: mezclar dominios no relacionados para generar soluciones radicales.,Combinatorial creativity protocols: merging unrelated domains to generate radical solutions.,6f110322bf105b51-SHA713
8,5. Fórmulas de Infraestructura Invisible / Invisible Infrastructure Formulas,1,Redes P2P de conocimiento sellado: nodos que transmiten ideas solo a miembros verificados.,Sealed-knowledge P2P networks: nodes that transmit ideas only to verified members.,8a9f39c56fcfebef-SHA713
9,5. Fórmulas de Infraestructura Invisible / Invisible Infrastructure Formulas,2,Data-mesh simbólica: arquitectura de datos que distribuye y replica sin exponer núcleo de autoría.,Symbolic data-mesh: data architecture that distributes and replicates without exposing authorship core.,4c8085ec992f8f26-SHA713
10,6. Fórmulas de Defensa Fractal / Fractal Defense Formulas,1,Códigos que aparentan ser irrelevantes pero contienen las llaves para activar funciones ocultas.,Code that appears irrelevant but contains keys to activate hidden functions.,1167f3ec2fba2dc1-SHA713
11,6. Fórmulas de Defensa Fractal / Fractal Defense Formulas,2,Algoritmos de auto-despliegue en caso de intento de robo o alteración no autorizada.,Auto-deployment algorithms in case of theft or unauthorized alteration attempts.,8f7bdb12b8d15107-SHA713
